id,listing_url,host_id,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
8889257,https://www.airbnb.com/rooms/8889257,25899989,https://www.airbnb.com/users/show/25899989,1/10/15,within an hour,100%,100%,f,1,1,t,t,98119,47.62950681,-122.3676293,t,House,Entire home/apt,5,1,2,3,Real Bed,,165.00,,5000.00,400.00,85.00,4,$20.00 ,2,1125,t,13,40,63,337,1/4/16,3,12/16/15,1/2/16,100,10,10,9,9,10,10,f,,WASHINGTON,f,strict,f,f,1,3
5680462,https://www.airbnb.com/rooms/5680462,22372266,https://www.airbnb.com/users/show/22372266,10/10/14,within an hour,100%,100%,f,1,1,t,t,98119,47.63920266,-122.3658627,t,House,Entire home/apt,16,3.5,6,15,Real Bed,,461.00,,,1500.00,300.00,8,$50.00 ,3,29,t,19,40,65,327,1/4/16,18,6/15/15,11/15/15,98,9,10,10,10,10,10,f,,WASHINGTON,t,strict,f,f,1,2.65
8988178,https://www.airbnb.com/rooms/8988178,2983711,https://www.airbnb.com/users/show/2983711,7/18/12,within a few hours,100%,100%,f,1,1,t,f,98119,47.63564979,-122.3728928,f,House,Entire home/apt,5,1,2,2,Real Bed,,109.00,,,,89.00,1,$0.00 ,3,15,t,30,60,69,69,1/4/16,1,11/25/15,11/25/15,80,8,10,8,8,8,8,f,,WASHINGTON,f,strict,f,f,1,0.73
3245876,https://www.airbnb.com/rooms/3245876,9465817,https://www.airbnb.com/users/show/9465817,10/16/13,within an hour,100%,100%,f,1,1,t,t,98119,47.62620037,-122.3666019,t,Apartment,Private room,2,1,1,1,Real Bed,,66.00,,,100.00,35.00,1,$25.00 ,1,10,t,29,59,89,364,1/4/16,84,6/30/14,1/2/16,95,10,9,10,10,10,9,f,,WASHINGTON,f,moderate,f,f,1,4.55
4933447,https://www.airbnb.com/rooms/4933447,25417834,https://www.airbnb.com/users/show/25417834,12/31/14,within an hour,100%,100%,t,1,1,t,t,98119,47.64064588,-122.3724059,t,House,Private room,2,1,1,1,Real Bed,,99.00,,,100.00,15.00,1,$0.00 ,2,14,t,29,52,82,171,1/4/16,45,3/16/15,11/6/15,98,10,10,10,10,10,10,f,,WASHINGTON,t,moderate,f,f,1,4.58
7735464,https://www.airbnb.com/rooms/7735464,6170760,https://www.airbnb.com/users/show/6170760,4/30/13,N/A,N/A,N/A,f,1,1,t,t,98119,47.63977587,-122.3722354,t,Apartment,Private room,2,2,1,1,Futon,,200.00,,,,,1,$0.00 ,1,1125,t,0,0,0,125,1/4/16,0,,,,,,,,,,f,,WASHINGTON,f,flexible,f,f,1,
6291829,https://www.airbnb.com/rooms/6291829,32713558,https://www.airbnb.com/users/show/32713558,5/5/15,N/A,N/A,N/A,f,1,1,t,t,98119,47.63602478,-122.3586936,t,House,Entire home/apt,10,3.5,5,5,Real Bed,,700.00,4100.00,,500.00,250.00,1,$0.00 ,3,30,t,24,54,84,359,1/4/16,5,7/7/15,8/10/15,85,10,9,9,9,8,8,f,,WASHINGTON,f,flexible,f,f,1,0.82
9218403,https://www.airbnb.com/rooms/9218403,14100483,https://www.airbnb.com/users/show/14100483,4/9/14,within a few hours,100%,100%,f,1,1,t,t,98119,47.62794034,-122.3649587,f,Condominium,Entire home/apt,1,1,1,1,Real Bed,,110.00,750.00,2500.00,,,1,$0.00 ,1,1125,t,29,55,85,360,1/4/16,1,1/3/16,1/3/16,100,10,10,10,10,10,10,f,,WASHINGTON,f,flexible,f,f,1,1
4125779,https://www.airbnb.com/rooms/4125779,21401856,https://www.airbnb.com/users/show/21401856,9/16/14,within an hour,100%,100%,f,1,1,t,f,98119,47.63637426,-122.3610334,t,House,Private room,3,1.5,1,2,Real Bed,,99.00,568.00,2029.00,,15.00,1,$10.00 ,1,1125,t,30,60,90,365,1/4/16,11,9/27/14,10/18/15,84,9,9,9,9,10,8,f,,WASHINGTON,f,moderate,f,f,1,0.71
8942678,https://www.airbnb.com/rooms/8942678,46675077,https://www.airbnb.com/users/show/46675077,10/16/15,within a day,100%,100%,f,1,1,t,f,98119,47.63563222,-122.3588809,t,House,Entire home/apt,8,2,4,4,Real Bed,,450.00,3000.00,,,,1,$0.00 ,4,1125,t,0,0,0,53,1/4/16,1,12/1/15,12/1/15,100,10,10,10,10,10,10,f,,WASHINGTON,f,flexible,f,f,1,0.86
